	city	clouds	country	humidity	lat	temp	wind
0	Nanortalik	0	GL	98	60.14	36.788	7.07
1	Punta Arenas	0	CL	86	-53.16	39.2	5.7
2	Atuona	48	PF	99	-9.8	80.52799999999999	8.82
3	Rikitea	88	PF	100	-23.12	73.508	8.07
4	Khatanga	64	RU	95	71.98	56.76800000000001	8.32
5	Bluff	100	AU	92	-23.58	60.818000000000005	5.02
6	Otukpo	76	NG	86	7.19	78.458	5.47
7	Lubu	92	CN	97	23.17	73.508	0.97
8	Cape Town	20	ZA	81	-33.93	53.6	3.1
9	Hermanus	36	ZA	83	-34.42	50.55800000000001	3.17
10	Praia da Vitoria	20	PT	78	38.73	75.2	3.57
11	Hilo	90	US	65	19.71	82.4	3.1
12	Sibolga	92	ID	95	1.74	69.188	1.07
13	Awjilah	0	LY	34	29.14	79.088	6.47
14	Leningradskiy	92	RU	99	69.38	31.838	5.27
15	Busselton	92	AU	100	-33.64	61.988	9.62
16	Ribeira Grande	20	PT	78	38.52	75.2	3.6
17	Yarada	88	IN	100	17.65	81.338	12.22
18	East London	12	ZA	95	-33.02	70.268	8.37
19	Malangwa	8	CD	92	-2.84	73.148	0.92
20	Hofn	88	IS	92	64.25	47.408	7.32
21	Sinnamary	48	GF	95	5.38	80.888	3.92
22	Dikson	20	RU	97	73.51	36.248000000000005	3.17
23	Alofi	40	NU	94	-19.06	75.2	4.6
24	Avarua	40	CK	88	-21.21	82.4	5.7
25	Kapaa	40	US	66	22.08	84.2	7.7
26	Ushuaia	40	AR	80	-54.81	35.6	1.5
27	Port Alfred	56	ZA	61	-33.59	70.44800000000001	5.57
28	Jamestown	12	AU	80	-33.21	25.718	1.27
29	Kamnik	40	SI	87	46.23	62.6	0.5
30	Ozernovskiy	32	RU	96	51.5	44.438	2.02
31	Kalabo	0	ZM	44	-15.0	61.538	4.82
32	Chokurdakh	56	RU	79	70.62	34.808	4.57
33	Hobart	0	AU	93	-42.88	39.2	3.6
34	Uvarovo	48	RU	65	51.99	73.148	4.52
35	Ponferrada	8	ES	88	42.55	64.688	0.37
36	San Ramon de la Nueva Oran	0	AR	56	-23.13	67.298	1.67
37	Hay River	75	CA	77	60.82	62.6	3.6
38	Loukhi	12	RU	54	66.08	60.638	3.22
39	Vaini	100	IN	99	15.34	68.10799999999999	2.77
40	Hami	76	CN	28	42.84	82.238	6.12
41	Srednekolymsk	0	RU	56	67.46	42.727999999999994	1.52
42	San Patricio	0	PY	82	-26.98	61.088	0.97
43	Victoria	75	BN	100	5.28	75.2	4.27
44	Mataura	92	NZ	94	-46.19	45.878	5.92
45	Torbay	90	CA	100	47.66	39.2	4.1
46	Graaff-Reinet	0	ZA	49	-32.25	45.608	2.27
47	Lompoc	1	US	64	34.64	78.8	3.6
48	Chuy	12	UY	71	-33.69	53.348	4.22
49	Klaksvik	88	FO	100	62.23	48.2	3.6
50	Puerto Ayora	40	EC	58	-0.74	82.4	5.7
51	Lebu	48	ET	89	8.96	46.148	1.22
52	Sept-Iles	75	CA	44	50.2	60.8	7.2
53	Barcelos	20	PT	82	41.53	64.4	3.1
54	Dudinka	92	RU	97	69.41	56.76800000000001	1.97
55	Flin Flon	90	CA	88	54.77	66.2	6.2
56	Paita	0	PE	78	-5.09	75.2	9.8
57	Shimoda	32	JP	93	34.7	73.958	10.22
58	San Carlos de Bariloche	40	AR	75	-41.13	42.8	8.7
59	Pevek	44	RU	98	69.7	32.648	2.27
60	Saldanha	0	PT	69	41.42	68.10799999999999	2.32
61	Chapais	20	CA	27	49.78	75.2	10.3
62	Menongue	0	AO	47	-14.66	54.428	2.17
63	Tiarei	40	PF	65	-17.53	82.4	6.2
64	Amazar	0	RU	88	53.86	55.508	2.22
65	Najran	0	SA	15	17.54	86.0	2.1
66	Dingle	12	PH	93	11.0	70.44800000000001	0.62
67	Santa Ana	40	SV	43	13.99	89.6	1.0
